Unique identifier	Getty AAT type	skos:prefLabel @en	skos:broader	rdf:type (skos:)	skos:member	skos:altLabel @en	skos:editorialNote @en	dc:creator	dc:contributor	skos:historyNote @en	skos:note @en (getty)	skos:definition @en	skos:example @en	external concept (getty)	type of match (getty) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch)	external concept (wikidata)	type of match (wikidata) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch)	dct:source	skos:related
PhysicalAttributesF	facet	Physical Attributes <facet>		Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Includes terms for the perceptible or measurable characteristics of materials and artifacts as well as features of materials and artifacts that are not separable as components, and needed to catalog visual works. Included are characteristics such as size and shape, chemical properties of materials, qualities of texture and hardness, and features such as surface ornament. Examples borders, round, waterlogged, brittleness."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Physical Attributes Facet’)"			http://vocab.getty.edu/page/aat/300264087	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Physical Attributes Facet’. Art & Architecture Thesaurus, 25 January 2021. http://vocab.getty.edu/page/aat/300264087.	
piecesGraffiti	concept	pieces (graffiti)	writingGraffiti	Concept	graffitoType	piece (graffiti) $$ masterpieces $$ masterpiece	"The term ""pieces"" in graffiti is short for ""masterpiece"" and is now more commonly used. A piece is a type of graffiti writing that is more complex and time-consuming than a throw-up. It is a significant work of graffiti, often large and elaborate, that showcases the skill and creativity of the graffitist. Pieces are typically created using multiple colours and may include 3D effects, characters, and other artistic elements."	Jona Schlegel $$ Stefan Worgin		"Historically, the term ""piece"" emerged from the graffiti movement in the 1970s and 1980s, particularly in New York City. As graffiti evolved from simple tags to more complex works, the term ""piece"" was used to distinguish these larger, more intricate works from simpler tags and throw-ups. Over time, creating a piece has become a way for graffitists to demonstrate their skill and earn respect within the graffiti community."	"""Works of graffiti art that are large, colorful, and stylistically elaborate and that require a greater amount of time and expertise to create."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Pieces (Graffiti Art)’)"			http://vocab.getty.edu/page/aat/300410272	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Pieces (Graffiti Art)’, 25 January 2021. http://vocab.getty.edu/page/aat/300410272.	
primingBackground	concept	priming (technique)	surfaceCoveringProcessesAndTechniquesGT	Concept	componentPart $$ activity	backgrounds (priming) $$ background (priming)	"""Priming"" in the context of graffiti refers to the technique of preparing the background surface where a graffito will be created. This involves applying a base layer of paint to create a clean, evenly coloured background. The purpose of priming is to enhance the vibrancy of the colours that will be applied on top and to ensure a smoother application of subsequent layers of paint. It also helps to cover any existing marks or irregularities on the surface, providing a 'blank canvas' for the graffitist. This technique is commonly used in graffiti and is an essential step in the creation of larger works or pieces."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q13217555	broadMatch		
processesAndTechniquesBySpecificTypeGT	guide term	processes and techniques by specific type <guide term>	ProcessesAndTechniquesHN	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel						http://vocab.getty.edu/page/aat/300053003	exactMatch				
ProcessesAndTechniquesHN	hierarchy name	Processes and Techniques <hierarchy name>	ActivitiesF	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""The Processes and Techniques hierarchy contains terms for actions and methods performed physically on or with materials and objects, and for processes occurring in materials and objects. Included are types of process or technique pertaining to the production and handling of objects or images (e.g., ""assembling"") or of substances (e.g., ""mixing"") or relevant to the manipulation and processing of specific materials (e.g., ""soldering""). Also included are terms for processes that occur in substances or objects, sometimes initiated intentionally and sometimes occurring spontaneously (e.g., ""burning""). Relation to other hierarchies: Terms for organizational, administrative, or intellectual activities conducted to accomplish specific purposes (e.g., ""analysis""), including terms relating to the collecting of objects and various other professional activities (e.g., ""collections management""), are found in the Functions hierarchy. Terms that designate branches of learning (e.g., ""anthropology"") are found in the Disciplines hierarchy, while the processes and techniques associated with these fields are contained here. Terms for physical and mental actions not performed to manipulate materials or fabricate objects (e.g., ""running;"" ""meditation"") are in the Physical and Mental Activities hierarchy. Certain terms that refer to degenerative forces on materials or structures (e.g., ""stress"") are in the Associated Concepts hierarchy. Descriptors for certain effects caused by processes occurring in materials and objects (e.g., ""cracks"") appear in the Conditions and Effects hierarchy."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Processes and Techniques (Hierarchy Name)’)"			http://vocab.getty.edu/page/aat/300053001	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Processes and Techniques (Hierarchy Name)’, 25 January 2021. http://vocab.getty.edu/page/aat/300053001.	
productionsGraffiti	concept	productions (graffiti)	graffitiConcepts	Concept	conceptIdea	production (graffiti)	"""Productions"" in graffiti refers to collaborative works created by two or more graffitists. These collaborations often involve the graffitists working side by side, but not necessarily on the same piece. The unity of the production is often evident through the use of the same background colouring or the use of the same spray can colours. The works may even be somewhat intertwined, creating a cohesive visual experience. Productions are a testament to the collaborative nature of the graffiti community, where graffitists come together to create larger, more complex works. These collaborations can result in a diverse range of styles and techniques being showcased in a single production, reflecting the individual styles of the participating graffitists while also creating a unified whole."	Jona Schlegel $$ Stefan Worgin			"""Larger and more involved graffiti art 'pieces' that involve several artists working together. These are achieved legally, where permission has been granted or the work commissioned."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Productions (Graffiti Art)’)"			http://vocab.getty.edu/page/aat/300410281	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Productions (Graffiti Art)’, 25 January 2021. http://vocab.getty.edu/page/aat/300410281.	
publicAndInteractiveActivitiesGT	guide term	public and interactive activities <guide term>	physicalActivitiesBySpecificContextGT	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel						http://vocab.getty.edu/page/aat/300379951	exactMatch				
reverseGraffitiTechnique	concept	reverse graffiti (technique)	subtractiveProcessesAndTechniquesGT	Concept	activity	clean tagging $$ dust tagging $$ grime writing	"""Reverse graffiti"" is a technique of creating temporary or semi-permanent images on walls or other surfaces by removing dirt. This can be done by simply removing dirt with the fingertip from windows or other dirty surfaces, or on a larger scale using a cloth or a high-power washer. This technique has been used as a form of advertising, although its legality varies depending on the jurisdiction. The technique is also used commercially as a form of out-of-home advertising, known as ""clean advertising"" or ""clean graffiti"". It's worth noting that this technique is also known as ""clean tagging,"" ""dust tagging,"" or ""grime writing""."	Jona Schlegel $$ Stefan Worgin		English artist Paul Curtis (aka Moose) is one of the first street artists to make a piece using the reverse graffiti technique. The first large-scale reverse graffiti piece was made by Alexandre Orion in 2006.									
reverseGraffitiWriting	concept	reverse graffiti (writing)	writingGraffiti	Concept	graffitoType	reverse graffito (writing) $$ graffiti, reverse $$ graffito, reverse $$ clean graffiti $$ clean graffito $$ green graffiti $$ green graffito $$ clean advertising	"""Reverse graffiti (writing)"" refers to a unique form of graffiti that is created by removing dirt or grime from a surface, rather than adding paint or other materials. This technique often involves the use of stencils and cleaning tools, such as power washers, rags, or even toothbrushes. The resulting images or messages are temporary or semi-permanent, depending on the surface and the environmental conditions. This form of graffiti has been used for both artistic expression and advertising, with its legality varying depending on the jurisdiction. It's worth noting that this type is also known as  ""clean graffiti,"" ""green graffiti,"" or ""clean advertising."""	Jona Schlegel $$ Stefan Worgin		English artist Paul Curtis (aka Moose) is one of the first street artists to make a piece using the reverse graffiti technique. The first large-scale reverse graffiti piece was made by Alexandre Orion in 2006.						https://www.wikidata.org/wiki/Q1810315	exactMatch		
rollingUpTechnique	concept	rolling up (technique)	surfaceCoveringProcessesAndTechniquesGT	Concept	activity		"""Rolling up"" in the context of graffiti refers to a technique used to create large-scale works or cover large areas quickly. This technique involves the use of a paint roller, which allows the graffitist to apply paint to a surface in broad strokes. The ""rolling up"" technique is particularly useful for reaching higher places or for creating the background or base layer of a larger work. The resulting graffiti, often referred to as a ""roll up,"" is characterized by its large size and the distinctive texture of the paint application. This technique is often used in combination with other graffiti techniques to create complex and layered works."	Jona Schlegel $$ Stefan Worgin			"""Applying ink to a printing plate or block or through a stencil with a roller."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Rolling Up’)"			http://vocab.getty.edu/page/aat/300053313	closeMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Rolling Up’, 25 January 2021. http://vocab.getty.edu/page/aat/300053313.	
rollUpsGraffiti	concept	roll ups (graffiti)	writingGraffiti	Concept	graffitoType	roll up (graffiti)	"A ""roll up (graffiti)"" in the context of graffiti refers to a large-scale work created using a paint roller attached to a telescopic rod. This technique allows graffitists to reach higher areas that would otherwise be inaccessible from the ground. The use of a roller enables the application of paint over large areas quickly, making it an efficient method for creating large murals or covering extensive surfaces. The resulting graffiti, known as a ""roll up,"" is often characterized by its large size and the distinctive texture of the paint application. This technique is particularly useful for creating the background or base layer of a larger work."	Jona Schlegel $$ Stefan Worgin											
scratchingsGraffiti	concept	scratchings (graffiti)	writingGraffiti	Concept	graffitoType	scratching (graffiti)	"""Scratchings"" in graffiti refers to a graffito type which was done by a subtractive technique where the graffitist uses a hard tool, such as a knife, a wooden stick, or even fingernails, to etch or scratch a design into a surface. This technique is often used on surfaces with a layer of material that can be removed, such as the bark of a tree or a wall with a layer of paint or plaster. The resulting graffiti, known as ""scratching,"" is characterized by its scratched appearance. This technique allows for a different kind of expression compared to more traditional graffiti techniques that involve the application of paint or other materials."	Jona Schlegel $$ Stefan Worgin			"""Refers to art works created by scratching or engraving a design into a board or other surface that has been prepared by covering with ink, so that the color of the board shows through the scratched design. Colored wax or paint may be applied to create a design on any paper board, or the board may be commercially produced ""scratchboard."" India ink is often used to cover the wax or paint. A stylus or other sharp instrument is generally used to scratch or scrape away the design."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Scratch Art’)"			http://vocab.getty.edu/page/aat/300264764	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Scratch Art’, 25 January 2021. http://vocab.getty.edu/page/aat/300264764.	
scratchingTechnique	concept	scratching (technique) 	subtractiveProcessesAndTechniquesGT	Concept	activity		"""Scratching"" in the context of graffiti refers to a technique where the graffitist uses a hard tool, such as a knife, a wooden stick, or even fingernails, to etch or scratch a design into a surface. This technique is often used on surfaces with a layer of material that can be removed, such as the bark of a tree or a wall with a layer of paint or plaster. The resulting graffiti, known as a ""scratching,"" is characterized by its etched or scratched appearance. This technique allows for a different kind of expression compared to more traditional graffiti techniques that involve the application of paint or other materials."	Jona Schlegel $$ Stefan Worgin			"""The action, process, or technique of making slight linear abrasions on a surface of any kind. May refer to damage, or to a technique for creation of art, such as in printmaking."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Scratching (Process)’)"			http://vocab.getty.edu/page/aat/300379457	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Scratching (Process)’, 25 January 2021. http://vocab.getty.edu/page/aat/300379457.	
scriptAndTypeFormsGT	guide term	script and type forms <guide term>	informationFormComponents	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel						http://vocab.getty.edu/page/aat/300201263	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘<script and Type Forms>’, 25 January 2021. http://vocab.getty.edu/page/aat/300201263.	
scriptAndTypeSigns	concept	script and type signs	scriptAndTypeFormsGT	Concept			"""Script and Type Signs"" is a term used in the Getty Art & Architecture Thesaurus to refer to the specific forms of letters, characters, or symbols used in writing or typography. In the context of graffiti, this could refer to the unique styles of lettering or symbol creation employed by graffitists. These styles can be influenced by various factors, including the graffitist's personal style, the tools used, and the cultural or subcultural context in which the graffiti is created."	Jona Schlegel						http://vocab.getty.edu/page/aat/300194297	exactMatch				
sculpturesGraffiti	concept	sculptures (graffiti) 	streetArtGraffiti	Concept	graffitoType	sculpture (graffiti)	"""Sculptures (graffiti)"" refers to three-dimensional works created by graffitists. These can be made from a variety of materials, including but not limited to metal, wood, plastic, or found objects. Unlike traditional graffiti, which is typically applied directly onto a surface such as a wall or a train, graffiti sculptures are standalone objects that can be placed in various locations. They represent a physical embodiment of the graffitist's expression, often interacting with their environment in unique ways. As with all forms of graffiti, it is essential to understand these works within their specific cultural and aesthetic context, rather than viewing them through the lens of traditional art paradigms."	Jona Schlegel			"""Three-dimensional works of art in which images and forms are produced in relief, in intaglio, or in the round. The term refers particularly to art works created by carving or engraving a hard material, by molding or casting a malleable material (which usually then hardens), or by assembling parts to create a three-dimensional object. It is typically used to refer to large or medium-sized objects made of stone, wood, bronze, or another metal. Small objects are typically referred to as ""carvings"" or another appropriate term. ""Sculpture"" refers to works that represent tangible beings, objects, or groups of objects, or are abstract works that have defined edges and boundaries and can be measured. As three-dimensional works become more diffused in space or time, or less tangible, use appropriate specific terms, such as ""mail art"" or ""environmental art."""" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Sculpture (Visual Works)’)"			http://vocab.getty.edu/page/aat/300047090	exactMatch	https://www.wikidata.org/wiki/Q860861	exactMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Sculpture (Visual Works)’, 25 January 2021. http://vocab.getty.edu/page/aat/300047090.	
secondOutlinesGraffiti	concept	second outlines (graffiti)	outlinesGraffiti	Concept	componentPart	second outline (graffiti) $$ outlines, second (graffiti) $$ outline, second (graffti)	"""Second outlines (graffiti)"" refers to the final layer of outlining in a graffito. This is often applied after the fill-ins and first outlines have been completed, serving to enhance the visual impact of the graffito. The second outline, also known as the final outline, helps to make the letters 'pop', creating a distinct separation between the letters and the background. It can also serve to hide any imperfections or mistakes in the fill-in stage. This technique is an integral part of the graffito creation process, contributing to the overall aesthetic and readability of the piece. As with all graffiti techniques, it should be understood within its specific cultural and aesthetic context."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q59507148	relatedMatch		
secondRowsGraffiti	concept	second rows (graffiti)	openSpacesByLocationOrContextGT	Concept	communityTerm	rows, second $$ second row $$ row, second	"""Second rows (graffiti)"" refers to graffiti works that are created higher up on a wall or surface, beyond easy reach from the ground. These works are often located on a 'second level', requiring the graffitist to use a ladder or other means to reach the desired height. Due to the increased difficulty and preparation required to create these works, they tend to remain in place for longer periods of time, as they are less likely to be painted over or removed. This concept is a testament to the lengths that graffitists will go to in order to express themselves and leave their mark on the urban landscape."	Jona Schlegel $$ Stefan Worgin											
semiWildstyleGraffiti	concept	semi Wildstyle (graffiti)	stylesWriting	Concept	style	Wildstyle, semi	"""Semi Wildstyle (graffiti)"" refers to a style of graffiti writing that sits between the complexity of Wildstyle and the simplicity of basic lettering. This style features a moderate level of embellishment and stylisation, making the letters slightly harder to read than in simpler styles, but not as intricate or abstract as in Wildstyle. The semi Wildstyle is a testament to the graffitist's skill and creativity, showcasing their ability to balance legibility with artistic expression. As with all graffiti styles, it should be understood within its specific cultural and aesthetic context."	Jona Schlegel $$ Stefan Worgin											
shadowsGraffiti	concept	shadows (graffiti)	backgroundsGraffiti	Concept	componentPart	shadow (graffiti)	"""Shadows (graffiti)"" refers to a technique used in the creation of a graffito to give the impression of depth or three-dimensionality to the letters or elements. This is achieved by adding an area of colour that suggests a shadow cast by the letters, typically in a consistent direction across the graffito. The use of shadows can enhance the visual impact of the graffito, making it appear more dynamic and engaging. As with all techniques used in graffiti, it should be understood within its specific cultural and aesthetic context."	Jona Schlegel $$ Stefan Worgin			"""Areas of partial darkness produced by a body intercepting the direct rays of the sun or other luminary, so that radiation is unable to reach the darkened area directly."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Shadows’)"			http://vocab.getty.edu/page/aat/300056036 	closeMatch	https://www.wikidata.org/wiki/Q160020	relatedMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Shadows’, 25 January 2021. http://vocab.getty.edu/page/aat/300056036.	
signAndElement	collection	sign and element		Collection	graffitoComponent			Jona Schlegel											
simpleStyleGraffiti	concept	simple style (graffiti)	stylesWriting	Concept	style	style, simple	"""Simple style (graffiti)"" refers to one of the earliest styles of graffiti writing. Characterised by its legibility and simplicity, this style is easy to read for both the observer and the graffitist. The simplicity of this style also makes it quick to execute, which could make it a preferred choice for throw-ups or bombing. Despite its simplicity, it still allows for a wide range of expression and creativity. As with all styles in graffiti, it should be understood within its specific cultural and aesthetic context."	Jona Schlegel $$ Stefan Worgin											
sketchbooks	concept	sketchbooks	documentsByFunctionGT	Concept		sketchbook $$ sketch books $$ sketch book $$ sketch-books $$ sketch-pads $$ sketch pads $$ sketchpads	This concept is taken from the Getty AAT.	Jona Schlegel			"""Books or pads of blank sheets used or intended for sketching, which are informal or rough drawings."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Sketchbooks’)"			http://vocab.getty.edu/page/aat/300027354	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Sketchbooks’, 25 January 2021. http://vocab.getty.edu/page/aat/300027354.	
slogansVerbalGraffiti	concept	slogans (verbal graffiti)	verbalGraffitiGraffiti	Concept	graffitoType	slogan (graffiti)	"""Slogans (verbal graffiti)"" refers to a type of verbal graffiti that often conveys a clear message in the form of words or sentences. Unlike other forms of graffiti that may focus on aesthetics or style, slogans are typically designed to communicate a specific message quickly and directly. The design or style of the graffiti may be less elaborate, as the primary intent is to convey the message rather than to ""beautify"" the urban environment. As with all forms of graffiti, it should be understood within its specific cultural and aesthetic context."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q42470	closeMatch		
smiliesGraffiti	concept	smilies (graffiti)	motifs	Concept	signAndElement	smiley (graffiti) $$ emojis $$ emoji	"""Smilies (graffiti)"" refers to a motif in graffiti that depicts a simplified, stylised representation of a smiling face. This motif typically consists of two dots representing the eyes and a curved line representing a smiling mouth. It may also be encircled to form a complete face. As a symbol type of graffito, it serves as a schematic visualisation of human emotion, specifically happiness or contentment. Despite its simplicity, it carries a universal meaning that can be easily recognised and understood. As with all motifs in graffiti, it should be understood within its specific cultural and aesthetic context."	Jona Schlegel $$ Stefan Worgin			"""Standardized ideogrammatic symbols used to represent concepts, emotional states, or other information wordlessly and succinctly in electronic communications such as text messages, e-mail, and social media. Originally Japanese, from e: “picture, drawing” and moji “letter, character.”"" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Emoji’)"			http://vocab.getty.edu/page/aat/300412189 	broadMatch	https://www.wikidata.org/wiki/Q11241	exactMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Emoji’, 25 January 2021. http://vocab.getty.edu/page/aat/300412189.	
socialMedia	concept	social media	computerNetworkingConcepts	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Refers to tools, usually a combination of software and database accessible through the World Wide Web, which enable persistent computer-mediated relationships that encompass social networking, blogs, wikis, and social or collaborative tagging. For specific activities that use social media, use relevent terms such as ""social networking."""" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Social Media’)"			http://vocab.getty.edu/page/aat/300312269	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Social Media’, 25 January 2021. http://vocab.getty.edu/page/aat/300312269.	
socialMediaHandles	concept	social media handles	socialMedia	Concept		social media handle	"""Social Media Handles"" in the context of graffiti refers to the usernames or identifiers that graffitists use on social media platforms such as Instagram or Twitter. These handles are often incorporated into the graffiti itself, serving as a signature or a way for viewers to find and follow the graffitist's work online. This practice reflects the intersection of traditional graffiti culture and modern digital communication, allowing graffitists to reach a broader audience and engage with their followers in a more interactive way. As with all elements of graffiti, it should be understood within its specific cultural and aesthetic context."	Jona Schlegel											
socialScienceConcepts	concept	social science concepts	AssociatedConceptsHN	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Concepts related to the study of institutions and functioning of human society and with the interpersonal relationships of individuals as members of society."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Social Science Concepts’)"			http://vocab.getty.edu/page/aat/300239103	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Social Science Concepts’, 25 January 2021. http://vocab.getty.edu/page/aat/300239103.	
sociologicalConcepts	concept	sociological concepts	socialScienceConcepts	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Concepts that deal with the study of human society."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Sociological Concepts’)"			http://vocab.getty.edu/page/aat/300065818	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Sociological Concepts’, 25 January 2021. http://vocab.getty.edu/page/aat/300065818.	
starsMotifs	concept	stars (motif)	naturalElementMotifs	Concept	signAndElement	star (motif)	This concept is taken from the Getty AAT.	Jona Schlegel			Conventionalized figures derived from astronomical stars, having radiating points of any number.			http://vocab.getty.edu/page/aat/300009811 	exactMatch	https://www.wikidata.org/wiki/Q1191504	exactMatch		
stencilsStreetArt	concept	stencils (street art)	streetArtGraffiti	Concept	graffitoType	stencil	"""Stencils"" in the context of street art refer to a specific type of graffito that is created using a pre-made template or stencil. The graffitist applies paint or another medium over the stencil to transfer the design onto a surface, resulting in a graffito. This technique allows for the rapid and repeated application of an image, making it a popular method for creating graffiti, particularly in the realm of street art. The use of stencils in graffiti can be traced back to the origins of the practice, but it gained significant popularity with the rise of street art in the late 20th and early 21st centuries. Stencil graffiti is often associated with political and social commentary, as the technique allows for the quick dissemination of powerful and provocative imagery and messages."	Jona Schlegel $$ Stefan Worgin			"""Visual works or designs produced by using tools also called ""stencils,"" which are sheets of celluloid, paper, cardboard, or other material in which desired lettering or designs have been cut out so that ink or paint applied to the sheets will reproduce the cut-out designs on the surface beneath."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Stencils (Visual Works)’)"			http://vocab.getty.edu/page/aat/300028878	exactMatch	https://www.wikidata.org/wiki/Q504073	exactMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Stencils (Visual Works)’, 25 January 2021. http://vocab.getty.edu/page/aat/300028878.	
stickersStreetArt	concept	stickers (street art)	streetArtGraffiti	Concept	graffitoType	sticker	"""Stickers"" in the context of street art refer to a specific type of graffito that is created using adhesive labels or stickers. The graffitist applies their design onto the sticker, which is then affixed to a surface, resulting in a graffito. This technique allows for the rapid and portable application of an image or message, making it a popular method for creating graffiti, particularly in the realm of street art.
The use of stickers in graffiti is a relatively recent development, gaining popularity in the late 20th and early 21st centuries. Sticker graffiti, also known as ""sticker bombing"", ""sticker slapping"", ""sticker tagging"", or ""slap tagging"", is often associated with political and social commentary, as the technique allows for the quick dissemination of powerful and provocative imagery and messages."	Jona Schlegel $$ Stefan Worgin			"""Adhesive-backed slips of paper or similar thin material, usually bearing messages or designs."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Stickers’)"			http://vocab.getty.edu/page/aat/300207379 	exactMatch	https://www.wikidata.org/wiki/Q2872553	exactMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Stickers’, 25 January 2021. http://vocab.getty.edu/page/aat/300207379.	
streetArtGraffiti	concept	street art (graffiti)	graffiti	Concept	graffitoClass		"""Street art"" is a sub-category of graffiti and represents a class of graffiti that is often more accepted by the general public and authorities compared to other forms of graffiti. While it shares many characteristics with traditional graffiti, such as the use of public spaces as a canvas and the often unauthorised nature of the work, street art tends to be more focused on aesthetics and public engagement.
Street art is often characterised by the use of a variety of media and techniques, including but not limited to murals, stencils, stickers, and installations. The works are often larger, more complex, and more time-consuming to create than traditional graffiti. They often feature intricate designs, detailed imagery, and sometimes even interactive elements. The graffitists who create street art often aim to engage with the public, provoke thought, or make a statement. While the act of creating street art can still be seen as rebellious or subversive, the intent is often more focused on the creation of a visually appealing or thought-provoking piece rather than the act of creation itself."	Jona Schlegel $$ Stefan Worgin			"""Contemporary outdoor paintings, drawings, or three-dimensional works on walls, sidewalks, or street surfaces in public thoroughfares of urban environments, sometimes intended to draw attention to urban issues."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Street Art’)"			http://vocab.getty.edu/page/aat/300056477 	closeMatch	https://www.wikidata.org/wiki/Q17516	closeMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Street Art’, 25 January 2021. http://vocab.getty.edu/page/aat/300056477.	
streetArtistsGraffiti	concept	street artists (graffiti)	graffitists	Concept	graffitoCreator	street artist $$ artists, street	"""Street artists"" in the context of graffiti, also known as graffitists, are individuals who utilise public or semi-public spaces as their canvas for artistic expression. These artists employ a variety of techniques and styles, ranging from simple tags to intricate murals, to create works that are often imbued with social, political, or personal significance. "	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q2914170	closeMatch		
style	collection	style		Collection	graffitoComponent			Jona Schlegel											
StylesAndPeriodsF	facet	Styles and Periods <facet>		Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Includes the names of art and architecture styles, historical periods, art movements, cultures, and ethnicities. Names of people and sites are included if they designate distinct styles or periods. Examples: Yoruba, Louis XIV, Aztec, German, Neolithic."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Styles and Periods Facet’)"			http://vocab.getty.edu/page/aat/300264088	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Styles and Periods Facet’, 25 January 2021. http://vocab.getty.edu/page/aat/300264088.	
StylesAndPeriodsHN	hierarchy name	Styles and Periods <hierarchy name>	StylesAndPeriodsF	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""The Styles and Periods hierarchy contains the names of art and architecture styles, historical periods, art movements, nationalities, ethnicities, and cultures (e.g., ""Renaissance,"" ""Ming,"" ""Yoruba,"" ""Celtic,"" ""Louis XIV,"" ""Italian,"" ""Paleolithic""). Relation to other hierarchies: Terms for religions, which may be considered to describe culture, are found in Associated Concepts. Terms for genres of art, including all the arts not specific to a given people or period (e.g., ""amateur art,"" ""pattern poetry"") are found in the Associated Concepts hierarchy; also here are terms for general approaches to art (e.g., ""realism"") while specific movements named after such approaches are found here (e.g., ""Realist"")."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Styles and Periods (Hierarchy Name)’)"			http://vocab.getty.edu/page/aat/300015646 	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Styles and Periods (Hierarchy Name)’, 25 January 2021. http://vocab.getty.edu/page/aat/300015646.	
stylesGraffiti	concept	styles (graffiti)	stylesPeriodsAndCulturesByGeneralEraGT	Concept		graffiti style $$ style (graffiti)	"""Styles"" in graffiti pertain to the distinct visual techniques and aesthetic approaches that differentiate the work of one graffitist from another's. These styles are particularly manifest in the manner in which words and letters are fashioned, with variations in form, hue, dimension, and ornamentation. There exist styles that are unique to graffiti, such as wildstyle, bubble letters, and 3D effects, each possessing its own set of conventions and aesthetics. These styles are not static; they undergo evolution over time, influenced by factors such as technological advancements, cultural trends, and the graffitist's personal development. "	Jona Schlegel $$ Stefan Worgin											
stylesPeriodsAndCulturesByGeneralEraGT	guide term	styles, periods, and cultures by general era <guide term>	StylesAndPeriodsHN	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel						http://vocab.getty.edu/page/aat/300111078	exactMatch				
stylesSticker	concept	styles (sticker)	stylesGraffiti	Concept		sticker style	"""Styles"" in the context of sticker graffiti refer to the unique visual and thematic characteristics that differentiate one type of sticker from another. A prominent example is the ""Hello My Name Is"" sticker style, which provides a blank space for graffitists to add their tag or personal design. These stickers, originally designed for introductions at events, have been co-opted by street artists as a medium for self-expression and identity proclamation. The style of a sticker, whether it's a pre-printed design or a hand-drawn creation, serves as a reflection of a graffitist's personal aesthetic, their commentary on societal norms, or their desire to leave a mark within the urban landscape."	Jona Schlegel $$ Stefan Worgin											
