Unique identifier	Type	skos:prefLabel @en	skos:broader	rdf:type (skos:)	skos:member	skos:altLabel @en	skos:editorialNote @en	dc:creator	dc:contributor	skos:historyNote @en	skos:note @en (getty)	skos:definition @en	skos:example @en	external concept (getty)	type of match (getty) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch)	external concept (wikidata)	type of match (wikidata) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch)	dct:source	skos:related
scriptAndTypeFormsGT	guide term	script and type forms <guide term>	informationFormComponents	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel						http://vocab.getty.edu/aat/300201263	exactMatch			The J. Paul Getty Trust. �<script and Type Forms>�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300201263.	
scriptAndTypeSigns	concept	script and type signs	scriptAndTypeFormsGT	Concept			"""Script and Type Signs"" is a term used in the Getty Art & Architecture Thesaurus to refer to the specific forms of letters, characters, or symbols used in writing or typography. In the context of graffiti, this could refer to the unique styles of lettering or symbol creation employed by graffitists. These styles can be influenced by various factors, including the graffitist's personal style, the tools used, and the cultural or subcultural context in which the graffiti is created."	Jona Schlegel						http://vocab.getty.edu/aat/300194297	exactMatch				
sculpturesGraffiti	concept	sculptures (graffiti) 	streetArtGraffiti	Concept	graffitoType	sculpture (graffiti)	"""Sculptures (graffiti)"" refers to three-dimensional works created by graffitists. These can be made from a variety of materials, including but not limited to metal, wood, plastic, or found objects. Unlike traditional graffiti, which is typically applied directly onto a surface such as a wall or a train, graffiti sculptures are standalone objects that can be placed in various locations. They represent a physical embodiment of the graffitist's expression, often interacting with their environment in unique ways. As with all forms of graffiti, it is essential to understand these works within their specific cultural and aesthetic context, rather than viewing them through the lens of traditional art paradigms."	Jona Schlegel			"""Three-dimensional works of art in which images and forms are produced in relief, in intaglio, or in the round. The term refers particularly to art works created by carving or engraving a hard material, by molding or casting a malleable material (which usually then hardens), or by assembling parts to create a three-dimensional object. It is typically used to refer to large or medium-sized objects made of stone, wood, bronze, or another metal. Small objects are typically referred to as ""carvings"" or another appropriate term. ""Sculpture"" refers to works that represent tangible beings, objects, or groups of objects, or are abstract works that have defined edges and boundaries and can be measured. As three-dimensional works become more diffused in space or time, or less tangible, use appropriate specific terms, such as ""mail art"" or ""environmental art."""" (The J. Paul Getty Trust. �Sculpture (Visual Works)�)"			http://vocab.getty.edu/aat/300047090	exactMatch	https://www.wikidata.org/wiki/Q860861	exactMatch	The J. Paul Getty Trust. �Sculpture (Visual Works)�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300047090.	
secondOutlinesGraffiti	concept	second outlines (graffiti)	outlinesGraffiti	Concept	componentPart	second outline (graffiti) $$ outlines, second (graffiti) $$ outline, second (graffti)	"""Second outlines (graffiti)"" refers to the final layer of outlining in a graffito. This is often applied after the fill-ins and first outlines have been completed, serving to enhance the visual impact of the graffito. The second outline, also known as the final outline, helps to make the letters 'pop', creating a distinct separation between the letters and the background. It can also serve to hide any imperfections or mistakes in the fill-in stage. This technique is an integral part of the graffito creation process, contributing to the overall aesthetic and readability of the piece. As with all graffiti techniques, it should be understood within its specific cultural and aesthetic context."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q59507148	relatedMatch		
secondRowsGraffiti	concept	second rows (graffiti)	openSpacesByLocationOrContextGT	Concept	communityTerm	rows, second $$ second row $$ row, second	"""Second rows (graffiti)"" refers to graffiti works that are created higher up on a wall or surface, beyond easy reach from the ground. These works are often located on a 'second level', requiring the graffitist to use a ladder or other means to reach the desired height. Due to the increased difficulty and preparation required to create these works, they tend to remain in place for longer periods of time, as they are less likely to be painted over or removed. This concept is a testament to the lengths that graffitists will go to in order to express themselves and leave their mark on the urban landscape."	Jona Schlegel $$ Stefan Worgin											
semiWildstyleGraffiti	concept	semi Wildstyle (graffiti)	stylesWriting	Concept	style	Wildstyle, semi	"""Semi Wildstyle (graffiti)"" refers to a style of graffiti writing that sits between the complexity of Wildstyle and the simplicity of basic lettering. This style features a moderate level of embellishment and stylisation, making the letters slightly harder to read than in simpler styles, but not as intricate or abstract as in Wildstyle. The semi Wildstyle is a testament to the graffitist's skill and creativity, showcasing their ability to balance legibility with artistic expression. As with all graffiti styles, it should be understood within its specific cultural and aesthetic context."	Jona Schlegel $$ Stefan Worgin											
shadowsGraffiti	concept	shadows (graffiti)	backgroundsGraffiti	Concept	componentPart	shadow (graffiti)	"""Shadows (graffiti)"" refers to a technique used in the creation of a graffito to give the impression of depth or three-dimensionality to the letters or elements. This is achieved by adding an area of colour that suggests a shadow cast by the letters, typically in a consistent direction across the graffito. The use of shadows can enhance the visual impact of the graffito, making it appear more dynamic and engaging. As with all techniques used in graffiti, it should be understood within its specific cultural and aesthetic context."	Jona Schlegel $$ Stefan Worgin			"""Areas of partial darkness produced by a body intercepting the direct rays of the sun or other luminary, so that radiation is unable to reach the darkened area directly."" (The J. Paul Getty Trust. �Shadows�)"			http://vocab.getty.edu/aat/300056036 	closeMatch	https://www.wikidata.org/wiki/Q160020	relatedMatch	The J. Paul Getty Trust. �Shadows�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300056036.	
signAndElement	collection	sign and element		Collection	graffitoComponent		"The ""sign and element"" collection is a sub-category within the ""graffito components"" collection of the graffiti thesaurus. It focuses on the various signs, symbols, or iconic elements used in a graffito. This collection includes more specific concepts such as ""anarchy symbols"", ""gender signs"", ""hearts"", and ""stars"". The ""sign and element"" collection provides a detailed look at the various symbols and elements that can be used in a graffito, each carrying its own connotations and contributing to the overall message or aesthetic of the piece."	Jona Schlegel $$ Stefan Worgin					"The ""sign and element"" collection is exemplified by its sub-concepts. ""Anarchy symbols"" are often used in graffiti to convey anti-establishment or rebellious sentiments. ""Gender signs"" can be used to comment on issues of gender identity or politics. ""Hearts"" are a common motif in many forms of art, including graffiti, and can be used to convey a range of emotions or messages. ""Stars"" are another common motif that can be used for decorative purposes or to convey various symbolic meanings. Each of these signs and elements adds a layer of meaning to a graffito, demonstrating the rich symbolic language of graffiti."						
simpleStyleGraffiti	concept	simple style (graffiti)	stylesWriting	Concept	style	style, simple	"""Simple style (graffiti)"" refers to one of the earliest styles of graffiti writing. Characterised by its legibility and simplicity, this style is easy to read for both the observer and the graffitist. The simplicity of this style also makes it quick to execute, which could make it a preferred choice for throw-ups or bombing. Despite its simplicity, it still allows for a wide range of expression and creativity. As with all styles in graffiti, it should be understood within its specific cultural and aesthetic context."	Jona Schlegel $$ Stefan Worgin											
sketchbooks	concept	sketchbooks	documentsByFunctionGT	Concept		sketchbook $$ sketch books $$ sketch book $$ sketch-books $$ sketch-pads $$ sketch pads $$ sketchpads	Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""Books or pads of blank sheets used or intended for sketching, which are informal or rough drawings."" (The J. Paul Getty Trust. �Sketchbooks�)"			http://vocab.getty.edu/aat/300027354	exactMatch			The J. Paul Getty Trust. �Sketchbooks�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300027354.	
slogansVerbalGraffiti	concept	slogans (verbal graffiti)	verbalGraffitiGraffiti	Concept	graffitoType	slogan (graffiti)	"""Slogans (verbal graffiti)"" refers to a type of verbal graffiti that often conveys a clear message in the form of words or sentences. Unlike other forms of graffiti that may focus on aesthetics or style, slogans are typically designed to communicate a specific message quickly and directly. The design or style of the graffiti may be less elaborate, as the primary intent is to convey the message rather than to ""beautify"" the urban environment. As with all forms of graffiti, it should be understood within its specific cultural and aesthetic context."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q42470	closeMatch		
smiliesGraffiti	concept	smilies (graffiti)	motifs	Concept	signAndElement	smiley (graffiti) $$ emojis $$ emoji	"""Smilies (graffiti)"" refers to a motif in graffiti that depicts a simplified, stylised representation of a smiling face. This motif typically consists of two dots representing the eyes and a curved line representing a smiling mouth. It may also be encircled to form a complete face. As a symbol type of graffito, it serves as a schematic visualisation of human emotion, specifically happiness or contentment. Despite its simplicity, it carries a universal meaning that can be easily recognised and understood. As with all motifs in graffiti, it should be understood within its specific cultural and aesthetic context."	Jona Schlegel $$ Stefan Worgin			"""Standardized ideogrammatic symbols used to represent concepts, emotional states, or other information wordlessly and succinctly in electronic communications such as text messages, e-mail, and social media. Originally Japanese, from e: �picture, drawing� and moji �letter, character.�"" (The J. Paul Getty Trust. �Emoji�)"			http://vocab.getty.edu/aat/300412189 	broadMatch	https://www.wikidata.org/wiki/Q11241	exactMatch	The J. Paul Getty Trust. �Emoji�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300412189.	
socialMedia	concept	social media	computerNetworkingConcepts	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""Refers to tools, usually a combination of software and database accessible through the World Wide Web, which enable persistent computer-mediated relationships that encompass social networking, blogs, wikis, and social or collaborative tagging. For specific activities that use social media, use relevent terms such as ""social networking."""" (The J. Paul Getty Trust. �Social Media�)"			http://vocab.getty.edu/aat/300312269	exactMatch			The J. Paul Getty Trust. �Social Media�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300312269.	
socialMediaHandles	concept	social media handles	socialMedia	Concept		social media handle	"""Social Media Handles"" in the context of graffiti refers to the usernames or identifiers that graffitists use on social media platforms such as Instagram or Twitter. These handles are often incorporated into the graffiti itself, serving as a signature or a way for viewers to find and follow the graffitist's work online. This practice reflects the intersection of traditional graffiti culture and modern digital communication, allowing graffitists to reach a broader audience and engage with their followers in a more interactive way. As with all elements of graffiti, it should be understood within its specific cultural and aesthetic context."	Jona Schlegel											
socialScienceConcepts	concept	social science concepts	AssociatedConceptsHN	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""Concepts related to the study of institutions and functioning of human society and with the interpersonal relationships of individuals as members of society."" (The J. Paul Getty Trust. �Social Science Concepts�)"			http://vocab.getty.edu/aat/300239103	exactMatch			The J. Paul Getty Trust. �Social Science Concepts�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300239103.	
sociologicalConcepts	concept	sociological concepts	socialScienceConcepts	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""Concepts that deal with the study of human society."" (The J. Paul Getty Trust. �Sociological Concepts�)"			http://vocab.getty.edu/aat/300065818	exactMatch			The J. Paul Getty Trust. �Sociological Concepts�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300065818.	
starsMotifs	concept	stars (motif)	naturalElementMotifs	Concept	signAndElement	star (motif)	Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			Conventionalized figures derived from astronomical stars, having radiating points of any number.			http://vocab.getty.edu/aat/300009811 	exactMatch	https://www.wikidata.org/wiki/Q1191504	exactMatch		
stencilsStreetArt	concept	stencils (street art)	streetArtGraffiti	Concept	graffitoType	stencil	"""Stencils"" in the context of street art refer to a specific type of graffito that is created using a pre-made template or stencil. The graffitist applies paint or another medium over the stencil to transfer the design onto a surface, resulting in a graffito. This technique allows for the rapid and repeated application of an image, making it a popular method for creating graffiti, particularly in the realm of street art. The use of stencils in graffiti can be traced back to the origins of the practice, but it gained significant popularity with the rise of street art in the late 20th and early 21st centuries. Stencil graffiti is often associated with political and social commentary, as the technique allows for the quick dissemination of powerful and provocative imagery and messages."	Jona Schlegel $$ Stefan Worgin			"""Visual works or designs produced by using tools also called ""stencils,"" which are sheets of celluloid, paper, cardboard, or other material in which desired lettering or designs have been cut out so that ink or paint applied to the sheets will reproduce the cut-out designs on the surface beneath."" (The J. Paul Getty Trust. �Stencils (Visual Works)�)"			http://vocab.getty.edu/aat/300028878	exactMatch	https://www.wikidata.org/wiki/Q504073	exactMatch	The J. Paul Getty Trust. �Stencils (Visual Works)�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300028878.	
stickersStreetArt	concept	stickers (street art)	streetArtGraffiti	Concept	graffitoType	sticker	"""Stickers"" in the context of street art refer to a specific type of graffito that is created using adhesive labels or stickers. The graffitist applies their design onto the sticker, which is then affixed to a surface, resulting in a graffito. This technique allows for the rapid and portable application of an image or message, making it a popular method for creating graffiti, particularly in the realm of street art.
The use of stickers in graffiti is a relatively recent development, gaining popularity in the late 20th and early 21st centuries. Sticker graffiti, also known as ""sticker bombing"", ""sticker slapping"", ""sticker tagging"", or ""slap tagging"", is often associated with political and social commentary, as the technique allows for the quick dissemination of powerful and provocative imagery and messages."	Jona Schlegel $$ Stefan Worgin			"""Adhesive-backed slips of paper or similar thin material, usually bearing messages or designs."" (The J. Paul Getty Trust. �Stickers�)"			http://vocab.getty.edu/aat/300207379 	exactMatch	https://www.wikidata.org/wiki/Q2872553	exactMatch	The J. Paul Getty Trust. �Stickers�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300207379.	
streetArtGraffiti	concept	street art (graffiti)	graffiti	Concept	graffitoClass		"""Street art"" is a sub-category of graffiti and represents a class of graffiti that is often more accepted by the general public and authorities compared to other forms of graffiti. While it shares many characteristics with traditional graffiti, such as the use of public spaces as a canvas and the often unauthorised nature of the work, street art tends to be more focused on aesthetics and public engagement.
Street art is often characterised by the use of a variety of media and techniques, including but not limited to murals, stencils, stickers, and installations. The works are often larger, more complex, and more time-consuming to create than traditional graffiti. They often feature intricate designs, detailed imagery, and sometimes even interactive elements. The graffitists who create street art often aim to engage with the public, provoke thought, or make a statement. While the act of creating street art can still be seen as rebellious or subversive, the intent is often more focused on the creation of a visually appealing or thought-provoking piece rather than the act of creation itself."	Jona Schlegel $$ Stefan Worgin			"""Contemporary outdoor paintings, drawings, or three-dimensional works on walls, sidewalks, or street surfaces in public thoroughfares of urban environments, sometimes intended to draw attention to urban issues."" (The J. Paul Getty Trust. �Street Art�)"			http://vocab.getty.edu/aat/300056477 	closeMatch	https://www.wikidata.org/wiki/Q17516	closeMatch	The J. Paul Getty Trust. �Street Art�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300056477.	
streetArtistsGraffiti	concept	street artists (graffiti)	graffitists	Concept	graffitoCreator	street artist $$ artists, street	"""Street artists"" in the context of graffiti, also known as graffitists, are individuals who utilise public or semi-public spaces as their canvas for artistic expression. These artists employ a variety of techniques and styles, ranging from simple tags to intricate murals, to create works that are often imbued with social, political, or personal significance. "	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q2914170	closeMatch		
style	collection	style		Collection	graffitoComponent		"The ""style"" collection is a sub-category within the ""graffito components"" collection of the graffiti thesaurus. It focuses on the distinctive visual characteristics or techniques that define a particular graffito or a graffitist's body of work. This collection includes more specific concepts such as ""anti style"", ""minimalism"", ""photorealistic style"", ""blockbuster style"", ""bubble style"", ""geometric style"", and ""mechanical style"". The ""style"" collection provides a detailed look at the various stylistic approaches that can be used in graffiti, each contributing to the diversity and richness of this art form."	Jona Schlegel $$ Stefan Worgin					"The ""style"" collection is exemplified by its sub-concepts. ""Anti style"" refers to a deliberate rejection of traditional graffiti aesthetics, often characterised by intentionally crude or messy designs. ""Minimalism"" in graffiti focuses on simplicity and reduction, often using basic shapes and a limited colour palette. ""Photorealistic style"" involves creating graffiti that closely resembles high-resolution photography, requiring a high level of skill and precision. ""Blockbuster style"" is characterised by large, blocky letters, often used to cover a large area quickly. ""Bubble style"" involves creating letters or designs with a rounded, inflated appearance. ""Geometric style"" uses geometric shapes and patterns, often resulting in a more abstract or modernist aesthetic. ""Mechanical style"" involves creating designs that resemble mechanical or industrial elements. Each of these styles represents a unique approach to creating graffiti, demonstrating the wide range of visual expressions possible within this art form."						
StylesAndPeriodsF	facet	Styles and Periods <facet>		Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""Includes the names of art and architecture styles, historical periods, art movements, cultures, and ethnicities. Names of people and sites are included if they designate distinct styles or periods. Examples: Yoruba, Louis XIV, Aztec, German, Neolithic."" (The J. Paul Getty Trust. �Styles and Periods Facet�)"			http://vocab.getty.edu/aat/300264088	exactMatch			The J. Paul Getty Trust. �Styles and Periods Facet�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300264088.	
StylesAndPeriodsHN	hierarchy name	Styles and Periods <hierarchy name>	StylesAndPeriodsF	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""The Styles and Periods hierarchy contains the names of art and architecture styles, historical periods, art movements, nationalities, ethnicities, and cultures (e.g., ""Renaissance,"" ""Ming,"" ""Yoruba,"" ""Celtic,"" ""Louis XIV,"" ""Italian,"" ""Paleolithic""). Relation to other hierarchies: Terms for religions, which may be considered to describe culture, are found in Associated Concepts. Terms for genres of art, including all the arts not specific to a given people or period (e.g., ""amateur art,"" ""pattern poetry"") are found in the Associated Concepts hierarchy; also here are terms for general approaches to art (e.g., ""realism"") while specific movements named after such approaches are found here (e.g., ""Realist"")."" (The J. Paul Getty Trust. �Styles and Periods (Hierarchy Name)�)"			http://vocab.getty.edu/aat/300015646 	exactMatch			The J. Paul Getty Trust. �Styles and Periods (Hierarchy Name)�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300015646.	
stylesGraffiti	concept	styles (graffiti)	stylesPeriodsAndCulturesByGeneralEraGT	Concept		graffiti style $$ style (graffiti)	"""Styles"" in graffiti pertain to the distinct visual techniques and aesthetic approaches that differentiate the work of one graffitist from another's. These styles are particularly manifest in the manner in which words and letters are fashioned, with variations in form, hue, dimension, and ornamentation. There exist styles that are unique to graffiti, such as wildstyle, bubble letters, and 3D effects, each possessing its own set of conventions and aesthetics. These styles are not static; they undergo evolution over time, influenced by factors such as technological advancements, cultural trends, and the graffitist's personal development. "	Jona Schlegel $$ Stefan Worgin											
stylesPeriodsAndCulturesByGeneralEraGT	guide term	styles, periods, and cultures by general era <guide term>	StylesAndPeriodsHN	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel						http://vocab.getty.edu/aat/300111078	exactMatch				
stylesSticker	concept	styles (sticker)	stylesGraffiti	Concept		sticker style	"""Styles"" in the context of sticker graffiti refer to the unique visual and thematic characteristics that differentiate one type of sticker from another. A prominent example is the ""Hello My Name Is"" sticker style, which provides a blank space for graffitists to add their tag or personal design. These stickers, originally designed for introductions at events, have been co-opted by street artists as a medium for self-expression and identity proclamation. The style of a sticker, whether it's a pre-printed design or a hand-drawn creation, serves as a reflection of a graffitist's personal aesthetic, their commentary on societal norms, or their desire to leave a mark within the urban landscape."	Jona Schlegel $$ Stefan Worgin											
stylesStreetArt	concept	styles (street art)	stylesGraffiti	Concept		street art style	"""Styles"" in street art, particularly in relation to graffiti, refer to the distinct visual techniques and aesthetic approaches that differentiate one graffitis's work from another's. These styles can range from abstract, where graffitists use shapes, colours, and forms to create non-representational works, to photorealistic, where graffitists meticulously render their subjects to closely resemble real-life imagery. Importantly, these styles often focus on visual elements and do not necessarily include text or lettering. The choice of style is a reflection of a graffitist's personal expression, their commentary on societal issues, or their interaction with the urban environment, making each piece a unique contribution to the urban visual landscape."	Jona Schlegel $$ Stefan Worgin											
stylesWriting	concept	styles (writing)	stylesGraffiti	Concept		writing style	"""Styles"" in graffiti writing refer to the unique visual characteristics and techniques that distinguish one graffitist's work from another's. This can include elements like letter structure, colour usage, 3D effects, and embellishments. Styles can also reflect broader trends within the graffiti community, such as the shift from simple tags to more complex pieces. Ultimately, a graffitist's style is their visual signature, a way of expressing their individuality within the shared language of graffiti."	Jona Schlegel $$ Stefan Worgin											
subtractiveProcessesAndTechniquesGT	guide term	subtractive processes and techniques <guide term> 	processesAndTechniquesBySpecificTypeGT	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel						http://vocab.getty.edu/aat/300229471	exactMatch				
surfaceCoveringProcessesAndTechniquesGT	guide term	surface covering processes and techniques <guide term>	additiveAndJoiningProcessesAndTechniquesGT	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel						http://vocab.getty.edu/aat/300229469	exactMatch				
swirlsMotifs	concept	swirls (motify)	motifs	Concept	design	swirl (motif) $$ swirls $$ swirl	"Swirls, as motifs in graffiti or any other form of visual art, are decorative elements that feature a twisted or spiral pattern. They are often used to add a sense of movement, energy, and dynamism to a design. Swirls can be simple, with a single line spiralling around a central point, or complex, with multiple intertwined spirals creating intricate patterns.
In graffiti, swirls can be used in a variety of ways. They can serve as a background or filler, adding depth and complexity to a piece. They can also be used to outline or highlight other elements of the design, or they can stand alone as a focal point. Swirls can be rendered in a variety of styles, from smooth and flowing to jagged and angular, depending on the artist's intent and the overall aesthetic of the piece."	Jona Schlegel $$ Stefan Worgin											
symbolsGraffiti	concept	graffiti symbol	graffiti	Concept	graffitoClass	symbols (graffiti) $$ symbol (graffiti) $$ graffiti symbols	"""Graffiti symbols"" is a class of graffiti that encompasses a wide range of symbols, signs, or motifs. These elements can stand alone or be incorporated into larger works, and they often convey universally recognised messages or ideas. Examples of graffiti symbols include the anarchy sign, smiley faces, stars, hearts, and even controversial symbols like the swastika.
The use of symbols in graffiti serves various purposes. For some graffitists, these symbols are a form of visual shorthand, allowing them to quickly and efficiently communicate specific ideas or sentiments. For others, the use of universally recognised symbols can be a way to engage a broader audience, as these symbols can be understood by individuals who may not be familiar with the more nuanced aspects of graffiti culture."	Jona Schlegel $$ Stefan Worgin			"""Visible signs (which can include figures, such as personifications, or objects) that stand for something else, often something abstract or invisible."" (The J. Paul Getty Trust. �Symbols�)"			http://vocab.getty.edu/aat/300055878 	closeMatch	https://www.wikidata.org/wiki/Q3695082	relatedMatch	The J. Paul Getty Trust. �Symbols�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300055878.	
taggingTechnique	concept	tagging (technique)	surfaceCoveringProcessesAndTechniquesGT	Concept	activity	tagging $$ tagging (activity)	"""Tagging"" is a technique employed by graffitists to create a specific type of graffiti known as a ""tag"". This technique involves the use of a quick, stylised script or signature, often created with a marker or spray paint. The tag serves as a pseudonymous signature or logo for the graffitist, allowing them to mark their presence in a particular location without revealing their true identity. The act of tagging is often seen as one of the most basic forms of graffiti, both in terms of the skill level required and the simplicity of the resulting mark. However, within the graffiti community, the style and uniqueness of a tag can be a source of respect and recognition. A well-executed tag can demonstrate a graffitist's skill, creativity, and individuality.
Tagging is often associated with the act of ""bombing"", where a graffitist aims to create as many tags as possible in a single outing, covering a large area or highly visible locations. This can be seen as a form of territorial marking or a way for the graffitist to gain recognition and ""get up"" in the graffiti community."	Jona Schlegel $$ Stefan Worgin											
tagsGraffiti	concept	tags (graffiti)	writingGraffiti	Concept	graffitoType	tag (graffiti) $$ tag $$ tags	"""Tags (graffiti)"" refers to a specific type of graffiti writing. A tag is essentially the signature or moniker of a graffitist, often stylised in a unique and distinctive way. It is the simplest and most fundamental form of graffiti, and it is typically the first type of graffiti that a graffitist learns to create. Tags are usually created quickly and can be found in a variety of locations throughout urban environments. They are often used by graffitists to mark territory, gain recognition, or participate in the broader graffiti community. While tags may appear simple or even crude to the untrained eye, they can be rich in meaning and style. The design of a tag can convey a great deal of information about the graffitist, including their skill level, their influences, and their place within the graffiti community."	Jona Schlegel $$ Stefan Worgin			"""Stylized forms of graffiti using names or initials as markers. These are considered the most basic form of graffiti art."" (The J. Paul Getty Trust. �Tags (Documents)�)"			http://vocab.getty.edu/aat/300410284 	exactMatch	https://www.wikidata.org/wiki/Q17514	relatedMatch	The J. Paul Getty Trust. �Tags (Documents)�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300410284.	
technologyAndRelatedConceptsGT	guide term	technology and related concepts <guide term>	AssociatedConceptsHN	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel						http://vocab.getty.edu/aat/300056068	exactMatch				
technologyGeneralAssociatedConcept	concept	technology (general associated concept)	technologyAndRelatedConceptsGT	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""The general application of science and related disciplines, typically to commercial or industrial objectives, often with the implication of mechanical, electronic, or computerized components."" (The J. Paul Getty Trust. �Technology (General Associated Concept)�)"			http://vocab.getty.edu/aat/300056069	exactMatch			The J. Paul Getty Trust. �Technology (General Associated Concept)�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300056069.	
threeDimensional	concept	three-dimensional	formAttributes	Concept			"""Three-dimensional"" is a term used to describe something that has depth in addition to height and width. In the context of graffiti, it does not refer to the creation of a sense of depth or three-dimensionality within a two-dimensional graffito, such as through the use of perspective or shading. Instead, it refers to a physical object or structure that exists in three dimensions. For example, a sculpture or installation created by a graffitist would be considered three-dimensional, as it occupies space in three dimensions. Similarly, a graffito that is carved or etched into a surface, such as through the technique of scratching, could also be considered three-dimensional, as it has a physical depth in addition to its height and width."	Jona Schlegel			"""Having, or appearing to have, the three dimensions of length, width, and height."" (The J. Paul Getty Trust. �Three-Dimensional�)"			http://vocab.getty.edu/aat/300010331	exactMatch			The J. Paul Getty Trust. �Three-Dimensional�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300010331.	
